Number of Posts,Followers,Following,Label,follower_following_ratio
-0.409993593,-0.901688414,-0.676245075,1,-0.627527513
-0.396436904,-0.420516133,-0.445033573,0,-0.254567007
-0.030406287,-0.523624479,0.26076996,0,-0.480692217
0.972788737,-0.340320752,2.767589405,1,-0.548874993
-0.003292908,2.626908314,-0.378103927,0,1.871551639
-0.355766835,-0.836768344,-0.816188879,0,-0.521900703
-0.315096767,-0.680196411,-1.010893302,0,0.223568109
-0.016849597,0.984812434,-0.146892425,0,0.401784819
1.73196335,0.874066433,1.751475698,0,-0.291714283
-0.315096767,1.149022022,1.711926362,0,-0.234365451
-0.22019994,1.645469614,-0.734047951,0,2.705930338
-0.382880214,-0.817674206,0.017389431,1,-0.588117174
-0.111746424,0.732769811,2.688490733,0,-0.393811408
-0.23375663,-0.454885581,-0.706667641,0,-0.078597789
-0.409993593,-0.863500137,3.132660197,1,-0.622632687
-0.369323525,-0.615276342,0.665390089,0,-0.541029068
-0.084633045,-0.802398895,-0.682329588,0,-0.511839098
-0.409993593,-0.817674206,0.42200956,1,-0.598236045
1.433716181,-0.332683097,-0.375061671,0,-0.226111656
0.240727503,-0.073002818,0.93310867,0,-0.409363135
-0.409993593,0.335611738,-0.289878486,0,0.159291582
-0.003292908,-0.50453034,0.114741643,0,-0.455520757
-0.409993593,-0.680196411,-0.034328931,1,-0.5188278
-0.396436904,-0.733659998,0.394629251,0,-0.567908729
3.12830237,0.011011389,3.050519269,0,-0.508255629
-0.301540077,1.290318645,0.42200956,0,0.136713523
0.525417983,0.358524703,-0.654949279,0,0.7602451
-0.152416493,2.985878111,0.510235002,0,0.656010315
-0.409993593,-0.080640474,-0.60018866,0,0.18720546
1.474386249,-0.080640474,1.091306014,1,-0.426604205
-0.409993593,-0.890231931,-1.010893302,1,-0.583505325
-0.071076356,2.638364797,0.376375711,0,0.643514687
0.145830677,3.142450044,0.002178148,0,1.294504355
2.043767209,2.970602801,0.78099584,0,0.472058128
-0.409993593,-0.603819859,-0.524132245,1,-0.36764774
-0.328653456,-0.027176887,-0.295962999,0,-0.067467463
-0.030406287,-0.393784339,0.787080353,0,-0.483753901
0.511861294,0.33179291,0.041727484,0,-0.06069051
-0.098189735,-0.370871373,0.169502262,0,-0.407146708
-0.274426698,-0.267763027,-0.41156875,0,-0.158318352
-0.301540077,-0.18374882,-0.785766313,0,0.444042865
-0.071076356,-0.806217723,0.212093854,1,-0.58912657
4.782218491,-0.11882875,-0.326385565,0,-0.10773122
0.972788737,3.40594915,-0.013033135,0,1.447032739
0.742325015,-0.645826963,1.219080791,0,-0.568285689
-0.030406287,-0.56945041,-0.216864327,0,-0.432715041
-0.179529872,0.877885261,-0.043455701,0,0.252996639
0.281397572,-0.42433496,-0.009990878,0,-0.398245287
-0.206643251,1.546180096,-0.825315649,0,3.465856553
-0.315096767,-0.080640474,-0.93179463,0,1.403724555
-0.396436904,-0.817674206,1.380320392,1,-0.60931265
-0.409993593,0.232503392,0.075192307,0,-0.120509598
-0.409993593,-0.832949516,-0.548470297,1,-0.565144313
-0.125303114,0.117938563,-0.42069552,0,0.136558834
-0.409993593,-0.894050758,-0.992639762,1,-0.601501817
-0.409993593,-0.855862482,-0.189484018,1,-0.601419717
-0.409993593,-0.894050758,-1.044358124,1,-0.589211905
-0.315096767,1.374332852,1.066967961,0,-0.064445544
-0.396436904,-0.466342064,0.044769741,0,-0.427975161
-0.409993593,-0.901688414,-1.074780691,1,-0.627527513
-0.382880214,-0.416697305,1.684546052,0,-0.533648114
-0.152416493,-0.42433496,-0.624526713,0,-0.132067071
0.023820471,-0.283038338,-0.210779814,0,-0.267113605
-0.409993593,-0.340320752,0.017389431,0,-0.364194792
-0.355766835,-0.798580068,0.300319296,0,-0.58857064
